time,temperature_2m,relative_humidity_2m,weather_code,wind_speed_10m,precipitation,sensacao_termica,chuva_acumulada_3h,rajada_maxima_3h
2025-11-26 00:00:00,19.0,64,0,1.6,0.0,18.109,0.0,1.6
2025-11-26 01:00:00,18.1,67,0,2.3,0.0,17.4466,0.0,2.3
2025-11-26 02:00:00,16.9,72,0,3.4,0.0,16.5304,0.0,3.4
2025-11-26 03:00:00,15.5,80,1,3.8,0.0,15.39,0.0,3.8
2025-11-26 04:00:00,15.1,81,1,3.4,0.0,15.0373,0.0,3.8
2025-11-26 05:00:00,14.7,84,0,3.1,0.0,14.6824,0.0,3.8
2025-11-26 06:00:00,15.1,86,0,2.9,0.0,15.053799999999999,0.0,3.4
2025-11-26 07:00:00,18.4,79,0,4.1,0.0,17.94955,0.0,4.1
2025-11-26 08:00:00,20.3,73,1,6.0,0.0,19.4387,0.0,6.0
2025-11-26 09:00:00,22.6,69,2,2.3,0.0,21.21895,0.0,6.0
2025-11-26 10:00:00,24.3,60,2,1.3,0.0,22.144,0.0,6.0
2025-11-26 11:00:00,26.3,50,3,7.8,0.0,23.055,0.0,7.8
2025-11-26 12:00:00,27.5,45,1,10.1,0.0,23.5675,0.0,10.1
2025-11-26 13:00:00,28.4,41,1,9.4,0.0,23.88945,0.0,10.1
2025-11-26 14:00:00,28.7,38,1,12.4,0.0,23.857799999999997,0.0,12.4
2025-11-26 15:00:00,28.8,34,2,12.3,0.0,23.6091,0.0,12.4
2025-11-26 16:00:00,28.6,28,1,11.9,0.0,23.0164,0.0,12.4
2025-11-26 17:00:00,27.6,30,1,10.9,0.0,22.5565,0.0,12.3
2025-11-26 18:00:00,25.5,36,2,5.9,0.0,21.628,0.0,11.9
2025-11-26 19:00:00,22.8,45,1,3.1,0.0,20.28925,0.0,10.9
2025-11-26 20:00:00,21.9,47,2,1.1,0.0,19.7429,0.0,5.9
2025-11-26 21:00:00,21.0,48,3,1.8,0.0,19.141,0.0,3.1
2025-11-26 22:00:00,19.7,48,3,8.5,0.0,18.212799999999998,0.0,8.5
2025-11-26 23:00:00,18.4,65,3,6.6,0.0,17.64925,0.0,8.5
