NOME_LOGRADOURO,COORDENADAS,Longitude
Av. Afonso Pena - Belo Horizonte,"-19.932859692090876, -43.92994898887907",
Av. Afonso Vaz de Melo - Barreiro,"-19.977022807721806, -44.025169845118995",
Av. Américo Vespúcio - Belo Horizonte,"-19.900944794957724, -43.96513309107364",
Av. Bernardo Monteiro - Belo Horizonte,"-19.92873677640693, -43.92894424264512",
Av. Carandaí - Belo Horizonte,"-19.928292780707103, -43.92820802214538",
Av. Country Clube de Belo Horizonte - Leste,"-19.92549138049018, -43.88547851999643",
Av. Desembargador Felippe Immesi,"-19.829815369297073, -43.97206158142934",
Av. do Canal - Barreiro,"-19.979699699638427, -44.03125182198236",
Av. Álvares Cabral - Belo Horizonte,"-19.92847781150979, -43.9425559003124",
Av. dos Andradas - Belo Horizonte,"-19.919855159252176, -43.9193378888753",
Av. Eliseu Resende - Belo Horizonte,"-19.96312937083472, -43.99732376511603",
Av. Fleming - Pampulha,"-19.868251858506035, -43.98562010037493",
Avenida Francisca Gregory,"-19.832021084257615, -43.980963319207895",
Av. José do Patrocínio Pontes - Mangabeiras,"-19.958245400728757, -43.91307711973891",
Av. Olinto Meireles,"-19.98240995702702, -44.01007200439487",
Av. Otacílio Negrão de Lima - Pampulha,"-19.851285573178604, -43.986304489047775",
Av. Paraná - Centro,"-19.918094966023286, -43.94215831304431",
Av. Pres. Tancredo Neves - Pampulha,"-19.88693426585338, -43.99387173508416",
Av. Santos Dumont - Centro,"-19.91568636329588, -43.93788425042678",
Av. Saramenha - Norte,"-19.840809374570572, -43.92331387741377",
Av. Senador Levindo Coelho - Barreiro,"-20.003492731418746, -44.03526840439423",
Av. Waldyr Soeiro Emrich,"-19.981758256109924, -44.0067754062458",
Praça Rio Branco,"-19.914475182853874, -43.94098883113625",
Praça Rui Barbosa,"-19.916085070015036, -43.934842854418896",
Rua Antônio Eustáquio Piazza - Barreiro,"-19.986560414907764, -44.03912164672304",
R. Fernandes Tourinho - Belo Horizonte,"-19.938219423646704, -43.9398640350828",
R. Gonçalves Dias - Belo Horizonte,"-19.92982032034998, -43.94173217741137",
R. Padre Belchior - Centro,"-19.92215903268722, -43.94209523323221",
R. Pastor Francisco Pessoa - Barreiro,"-19.976961931905382, -44.02754015042496",
R. Piauí - Belo Horizonte,"-19.929666251464383, -43.926523592754776",
Rua Professor Moraes - Belo Horizonte,"-19.93651089350849, -43.93107207741122",
R. Rio de Janeiro - Belo Horizonte,"-19.926296535935034, -43.9407004736904",
R. Tombos - Belo Horizonte,"-19.921017218148734, -43.96930917370973",
R. Úrsula Paulino - Belo Horizonte,"-19.958090291780128, -43.98700499090322",
R. Várzea da Palma - Engenho Nogueira,"-19.891782118496, -43.97884667741241",
Viaduto Itamar Franco - Belo Horizonte,"-19918270553938400,  -43.96074207741167",
